0, 09-03-2022 21:24:05, 10001, 50000, 30, 1500000, 
1, 09-03-2022 21:24:46, 10006, 50003, 10, 250000, 
2, 09-03-2022 21:25:28, 10002, 50007, 20, 600000, 
3, 09-04-2022 16:01:00, 10004, 50002, 20, 100000, 
4, 09-04-2022 17:05:25, 10008, 50003, 60, 300000, 
5, 09-04-2022 23:01:21, 10006, 50003, 10, 50000, 
6, 09-05-2022 21:07:29, 10006, 50008, 0, 0, 
7, 09-05-2022 21:08:04, 10000, 50007, 50, 1500000, 
8, 09-06-2022 13:01:00, 10004, 50002, 20, 100000, 
9, 09-06-2022 19:35:25, 10008, 50003, 20, 100000, 
10, 09-06-2022 23:01:21, 10006, 50003, 100, 500000, 
